pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
TOI-1470 c,TOI-1470,2023,Transit,18.08816,0.106,2.47,7.24,1.186710158,11.6538,3.35,373,M1.5 V,3709,-1.62965,121.59773,169.4392167,-144.2610894,-88.74213587
TOI-157 b,TOI-157,2020,Transit,2.0845435,0.03138,14.415,375.0394,1.804876963,17.7244,1062,1588,G9 IV,5404,-32.93009,289.06331,1160.082789,920.2982274,318.0219908
TOI-1634 b,TOI-1634,2021,Transit,0.989343,0.01545,1.79,4.91,1.532411598,15.0487,121,924,M2,3550,-13.8523,157.38273,115.0470961,-42.95728491,-103.1106371
TOI-169 b,TOI-169,2020,Transit,2.2554477,0.03524,12.173,251.40353,1.69658697,16.661,1443,1715,G1 V,5880,-41.88837,301.58794,1330.196171,843.540881,518.70509
TOI-1695 b,TOI-1695,2022,Transit,3.1342791,0.033548,1.9,6.36,1.761772853,17.3011,39,698,M1 V,3690,9.62112,125.71643,147.1973087,-117.8308788,-84.72132201
TOI-1728 b,TOI-1728,2020,Transit,3.49151,0.0391,5.05,26.78,1.050093128,10.3122,57.78,767,M0,3980,31.87904,151.4597,198.2965545,-80.45115047,-147.9243724
TOI-1759 b,TOI-1759,2022,Transit,18.85019,0.1177,3.14,10.8,1.095379123,10.757,6.39,443,M0.0 V,4065,7.03023,103.55005,130.6758574,-126.0834643,-30.38647287
TOI-1789 b,TOI-1789,2021,Transit,3.208664,0.04882,16.141,222.47988,0.853944934,8.386,2300,1927,F,5991,45.58561,201.71923,747.1166297,193.4903693,-485.7452125
TOI-181 b,TOI-181,2023,Transit,4.532,0.0539,6.956,46.1687,0.954176023,9.3703,102.43,895,K,4994,-70.81433,5.3051,313.8726762,-9.536994222,102.7062787
TOI-1899 b,TOI-1899,2020,Transit,29.02,0.1587,12.89,209.7678,1.262504657,12.3982,2.9,362,M0,3841,5.73806,75.50727,418.9087284,-403.546599,104.3096195
TOI-2095 b,TOI-2095,2023,Transit,17.66484,0.101,1.25,4.1,2.624,25.7685,3.43,347,M2.5 V,3759,25.49556,106.75582,136.7169258,-118.1638011,-35.57635803
TOI-2095 c,TOI-2095,2023,Transit,28.17232,0.137,1.33,7.4,4.183390808,41.0822,1.84,297,M2.5 V,3759,25.49556,106.75582,136.7169258,-118.1638011,-35.57635803
TOI-2136 b,TOI-2136,2022,Transit,7.851928,0.057,2.19,6.37,1.328162465,13.043,4,395,M4.5 V,3342,17.01545,65.83323,108.8158785,-94.93315448,42.59848933
